,Name,Description,Designation,Latitude,Longitude,States,Type,Free,Cost
,Abraham Lincoln Birthplace National Historical Park,"Located in rural central Kentucky near Hodgenville, Abraham Lincoln Birthplace National Historical Park preserves the place where the 16th president of the United States was born and State Parkent his earliest years. The park centers on the Sinking State Parkring Farm, the Birthplace Cabin Site, and surrounding woodlands and fields, with a visitor center and commemorative grounds that reflect Lincoln’s boyhood landscape. Wildlife includes white-tailed deer, wild turkeys, and a variety of songbirds.",National Historical Park,37.5858662,-85.673305,KY,National,TRUE,0
,Acadia National Park,"This coastal park in Maine State Parkans most of Mount Desert Island and nearby islands. It features Cadillac Mountain, the tallest peak on the Atlantic coast, rugged granite coastline, and extensive woodlands and lakes. A mosaic of habitats—freshwater ponds, estuaries, intertidal zones, and forest—supports peregrine falcons, harbor seals, white-tailed deer, and a rich array of seabirds.",National Park,44.409286,-68.247501,ME,National,FALSE,6
,Adams National Historical Park,"Two birthplaces of American presidents and the Adams family home anchor Adams National Historical Park in Quincy, Massachusetts. The John Adams Birthplace (the Old House) and the John Quincy Adams Birthplace reveal 18th‑century life and the roots of American leadership, while Peacefield—the Adams family home—encloses the later 18th–19th‑century rooms and the Stone Library. Visitors experience period rooms, historic artifacts, and the landscapes that connected two generations of the Adams family to the nation’s founding.",National Historical Park,42.2553961,-71.011604,MA,National,FALSE,15
,African American Civil War Memorial,"Located along the National Mall in Washington, D.C., the African American Civil War Memorial National Monument honors the service and sacrifices of African American soldiers and sailors who fought for the Union during the Civil War. The site features a prominent sculpture and a granite wall engraved with the names of those who served, set within a tranquil plaza that invites reflection and connects visitors with nearby museums and monuments in the National Mall and Memorial Parks.",National Memorial,38.9166,-77.026,DC,National,TRUE,0
,African Burial Ground National Monument,"This urban site in lower Manhattan preserves the burial grounds of enslaved Africans from the 17th and 18th centuries. A granite memorial and nearby interpretive exhibits tell the stories of resilience, labor, and community in colonial New York. Visitors can reflect at the memorial, join ranger-guided programs, and learn how this hidden history helped shape the city.",National Monument,40.7145268,-74.004474,NY,National,TRUE,0
,Agate Fossil Beds National Monument,"This northwestern Nebraska landscape preserves fossil beds from the Oligocene epoch, set in rugged badlands and rolling prairie where bone beds and agatized layers reveal the lives of ancient mammals. Interpretive trails and a visitor center offer insights into paleontology and the region's fossil-rich past.",National Monument,42.4217042,-103.75389,NE,National,TRUE,0
,Ala Kahakai National Trail,"This living corridor follows Hawaii’s ancient coastal routes along the islands’ shores, preserving a network of trails, villages, heiau, and fiState Historic Parkonds that once bound island communities. Lava fields, sea cliffs, beaches, and coral reefs frame the coastline, where wildlife such as Hawaiian monk seals, green sea turtles, and seasonal humpback whales can be observed. ",National Trail,19.1446681,-155.89073,HI,National,TRUE,0
,Alagnak Wild National River,"This remote Alaska river corridor protects the Alagnak Wild River, winding through boreal forest, tundra, and braided channels toward Bristol Bay. It preserves a rugged wilderness landscape with salmon-State Parkawning rivers and expansive floodplains. Wildlife includes brown bears, moose, caribou, eagles, and abundant salmon.",National River,59.0518019,-156.112,AK,National,TRUE,0
,Alaska Public Lands,"State Parkanning some of the largest and most remote protected areas in the United States, Alaska’s public lands preserve vast wilderness shaped by glaciers, towering mountains, tundra, rivers, and rugged coastline. These lands offer opportunities for mountaineering, backcountry hiking, rafting, flightseeing, and wildlife viewing in largely undeveloped settings. Ecosystems range from boreal forest and alpine tundra to coastal fjords and marine waters. Wildlife commonly includes grizzly and black bears, moose, caribou, wolves, Dall sheep, bald eagles, marine mammals, and abundant salmon, reflecting one of the most intact and ecologically diverse landscapes in North America.",National Park,61.2188,-149.89454,AK,National,TRUE,0
,Alcatraz Island,"This storied island in San Francisco Bay preserves a world-famous former federal prison and a historic lighthouse, set against dramatic bay views and the city skyline. Accessible by ferry, Alcatraz offers cellhouse tours, preserved buildings, gardens, and interpretive trails that tell its layered history. Wildlife includes harbor seals that haul out on the rocky shores and a thriving seabird colony with western gulls, cormorants, and seasonal migratory birds.",National Recreation Area,37.8267623,-122.42302,CA,National,TRUE,0
